Object.ID	Circularity.Factor	Mean.Intensity.EGFP	Mean.Intensity.mCherry	Area	Position	P.bodies..Counts	P.bodies.nuc..Counts	total_intensity_DCP1A_P.bodies	mean_intensity_DCP1A_P.bodies	total_intensity_DCP1A_P.bodies.nuc	mean_intensity_DCP1A_P.bodies.nuc	total_intensity_DCP1A_cytoplasm	mean_intensity_DCP1A_cytoplasm	total_intensity_P.bodies_all	mean_intensity_P.bodies_all	P.bodies_count	P.bodies.nuc_count	Parent.Object.ID..Well.	Parent.Trace.ID	black	green	nuclei	red
20326	1.0554907	444.09344	182.91397	1081	5	2	1	2403	200.25	1241	20.016129	46769	51.678453	3644	49.917808	2	1	34	-1	0	1	1	0
89753	1.0662652	353.65063	248.05202	1288	8	3	0	4908	245.4	0	0	381837	110.26191	4908	245.4	3	0	153	-1	0	0	1	1
150925	1.0150299	320.13104	218.65331	1572	4	0	1	0	0	3673	74.959184	165192	46.836405	3673	74.959184	0	1	250	-1	0	0	1	1
190422	1.1976651	650.42383	168.46689	4365	4	4	3	17265	523.18182	73116	218.25672	188703	74.704275	90381	246.26975	4	3	336	-1	0	0	0	0
143610	1.0271242	283.51535	201.7258	1302	4	1	0	14029	1558.7778	0	0	63825	49.209715	14029	1558.7778	1	0	217	-1	0	0	1	1
158734	1.0523022	376.31265	183.64503	1772	5	1	1	1723.0001	78.318187	143	3.6666667	63127	40.131596	1866.0001	31.100002	1	1	263	-1	0	1	1	0
172231	1.0236253	318.77823	174.80658	2399	3	0	4	0	0	2426	13.113514	132329.01	64.362358	2426	13.113514	0	4	264	-1	0	1	1	0
134573	1.0221992	641.55255	190.43724	3824	6	4	2	5104	141.77778	914	13.246377	1634887	227.82706	6018	57.865385	4	2	234	-1	0	0	0	0
138200	1.0562813	361.19537	167.84955	1336	6	0	0	0	0	0	0	216527	84.680094	0	0	0	0	227	-1	0	1	1	0
161040	1.0461936	365.09323	178.76035	1523	6	0	1	0	0	193	8.3913043	221917	64.398433	193	8.3913043	0	1	286	-1	0	1	1	0
126810	1.0599845	511.23517	201.2178	2594	7	0	2	0	0	547	8.8225806	71131	53.241766	547	8.8225806	0	2	212	-1	0	0	1	0
75167	1.0626633	361.60065	171.51462	616	5	0	0	0	0	0	0	5858.9995	16.274999	0	0	0	0	131	-1	0	1	1	0
46094	1.0449222	407.73016	179.85037	1223	9	1	0	2485	225.90909	0	0	101426	115.65108	2485	225.90909	1	0	87	-1	0	1	1	0
194948	1.1782473	484.35416	154.59225	336	5	1	0	709	88.625	0	0	-1559	259.83333	709	88.625	1	0	344	-1	0	0	0	0
131483	1.122155	574.23779	225.84627	2010	2	1	1	3736.9998	249.13332	337	4.4933333	145958	230.21767	4073.9998	45.775278	1	1	238	-1	0	0	1	1
69268	1.0094763	316.72949	172.44054	1194	5	0	2	0	0	5367	41.604651	129698	53.417628	5367	41.604651	0	2	142	-1	0	1	1	0
17885	1.1180212	393.30588	172.2	170	8	1	0	718	179.5	0	0	-1048	524	718	179.5	1	0	40	-1	0	0	0	0
15753	1.0840335	435.70078	220.36183	1965	8	7	2	24129	574.5	1120	10.37037	145373	89.46031	25249	169.45638	7	2	44	-1	0	0	1	1
172077	1.0273176	369.15219	171.01952	1025	2	0	1	0	0	1043	37.25	172926	74.504955	1043	37.25	0	1	264	-1	0	1	1	0
148762	1.0412152	283.0141	172.77603	1277	8	1	0	988	89.818182	0	0	118615	37.871967	988	89.818182	1	0	244	-1	0	1	1	0
205043	1.0919773	329.6304	172.48041	1480	9	0	0	0	0	0	0	165382	57.166263	0	0	0	0	383	-1	0	1	1	0
185348	1.0549787	400.27994	169.18073	1411	8	1	1	1912	159.33333	2919	50.327586	186670.98	68.780761	4831	70.014493	1	1	327	-1	0	1	1	0
21634	1.0301491	337.9021	255.84529	2482	5	1	0	7417	927.125	0	0	310197	65.705783	7417	927.125	1	0	31	-1	0	0	1	1
56991	1.0342691	495.5401	168.06604	424	9	1	1	2768	145.68421	2938	18.477987	151031	127.99237	5706	32.237288	1	1	101	-1	0	0	0	0
180621	1.1771433	352.15546	232.79578	1518	8	1	3	2577	644.25	894	6.4782609	65834.996	65.054344	3471	24.617021	1	3	310	-1	0	0	0	0
62002	1.0165332	399.7402	168.74774	1328	6	2	1	2900	207.14286	257	5.9767442	251842	83.226041	3157	56.375	2	1	111	-1	0	1	1	0
53695	1.0453244	315.54443	178.0703	1508	2	0	0	0	0	0	0	20747	23.819747	0	0	0	0	96	-1	0	1	1	0
217220	1.1041196	478.55811	262.42307	1222	8	4	0	6971	268.11538	0	0	32636	70.48812	6971	268.11538	4	0	360	-1	0	0	1	1
105466	1.1587784	339.14816	188.8671	918	6	2	2	3179	211.93333	1948	29.969231	40838	34.462447	5127	64.898734	2	2	182	-1	0	0	0	0
93993	1.1107594	286.10733	199.14253	1789	4	2	1	8023	534.86667	1272	13.978022	163849	49.233474	9295	88.52381	2	1	161	-1	0	0	1	1
205060	1.144451	202.6602	180.98567	1186	9	0	1	0	0	151	4.0810811	18316	9.0763132	151	4.0810811	0	1	383	-1	0	0	1	0
214034	1.0603122	315.53625	182.43501	1531	3	1	1	10771	1346.375	407	10.710526	45410	38.978541	11178	248.4	1	1	365	-1	0	1	1	0
